,cleaned,class
45, pussy is a powerful drug happyhumpday HTTPURL,0
46, quick piece of pussy call it a drive by ,0
47, running round here like some brand new pussy that is bout to get fucked ,0
48, these bitches even worst they will send them guys for you ,0
49, these hoes like niggas that spend money not talk bout it ,0
50, we do not trust these niggas all these bitches ,0
51, you all niggas b cuffing hoes because you all are not never have bitches ,0
52, you dodge a bullet @USER all da bitches i cut off pregnant or bound to be thank god ,0
53, young pill chamberlain these bitches love my music ,0
54,@USER teanna trump probably cleaner than most of these twitter hoes but,0
55,@USER gay niggas could not wait to act like bitches tonight,0
56,@USER and i am about to steal his cat n replace it with a pitbull @USER @USER he a bitch you should do it,0
57, hes gone always be a hoe,0
58,son of a bitch took my tic tacs i like this movie,0
59,all i want to do is get money and fuck model bitches russell simmons,0
60,@USER i probably would not mind school as much if we did not have to deal with bitch ass teachers retweet,0
61,@USER i am a fucking fag they said,0
62,@USER females think dating a pussy is cute now HTTPURL how does doing this stuff make him a pussy,0
63,@USER simplyaddictedtoguys HTTPURL woof woof hot scally lad,1
64,@USER have ya ever asked your bitch for other bitches kanye voice yes,0
65,@USER how you gone bring you are side bitch to a game where you know ya gf friends at i swear,0
66,@USER HTTPURL woof woof and hot soles,1
67,@USER lemmie eat a oreo do these dishes one oreo laugh out loud,1
68,@USER @USER @USER bitch fuck you HTTPURL maybe you will get better just HTTPURL,0
69,@USER fuck red malone man bitch ass niggah could you please use complete sentences,0
70,@USER why the eggplant emoji doey he say she looked like scream laughing my ass off,1
71,@USER hennessey venom gt HTTPURL that is one sexy bitch,0
72,@USER him seh me pussy wetter then a shower cu ainahmesehwetnesslaughing my ass off,0
73,@USER eaglesnation and every eagles need to see that pic i just posted because that bitch just said the most racist shit,0
74,@USER yo fuck skateboarding all you all some wood pushing faggots man ball is life HTTPURL @USER,0
75,@USER baby monkey bathtime HTTPURL awe this is so adorable,1
76,@USER i are not shit damn skippy laugh out loud,0
77,@USER you ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussyno bs must b chance,0
78,@USER @USER HTTPURL rings mvps bitches laugh out loud,0
79,@USER people talk bad about the ghettohood but as a kid growing up a nigga had fun ,0
80,@USER the facts on tattoostattoo HTTPURL hes a pussy with not tattooing them nipples,0
81,@USER @USER bitches be wanting to act like niggas so bad that shit are not cute but niggas act like bitches,0
82,@USER get worshiping bitch HTTPURL woof woof,0
83,@USER wow @USER i am lost are those buttcheek piercings HTTPURL yeah she is a hoe,0
84,@USER ok sis she would rather be a broke bitch shrugs she will have to tell me how it works for her,0
85,@USER @USER @USER queer gaywad,0
86,@USER @USER faggot read my tweets after dat k it was not even funny laugh out loud,0
87,@USER this bitch was so ungrateful HTTPURL fr lulwhore,0
88,@USER i been kidnapped yo bitch,0
89,@USER @USER alsarabs hes a beaner smh you can tell hes a mexican,0
90,@USER @USER happy bi hday nigs thanks yo,0
91,@USER when you are teacher tells you that you have homework HTTPURL this bitch need to go,0
92,@USER @USER @USER that nigga was eating that hoe laugh out loud hell yea laugh out loud john paul nigga said john paul HTTPURL,0
93,@USER what would you all lil ugly bald headed bitches do if they stop making makeup weave,0
94,@USER leafs better win this damn game so i can go riot and shit earlychristmas you better sta looting my nig,0
95,@USER going back to school sucks more dick than the hoes who attend it,0
96,@USER on my way to fuck yo bitch HTTPURL me as a year old,0
97,@USER @USER how come you never bring me food i do not have a car retard,0
98,@USER if richnow does not show up with hella tinder hoes i am not his friend anymore chill i brought like like prople,0
99,@USER how bout them cowboys shutup pussy,0
100,@USER laughing my ass offo this nigga @USER HTTPURL bitch want likes for some depressing shitfoh,0
101,@USER @USER girl you know i was spitting that g shit to you you was going lbvsbitch please,0
102,@USER let me make a couple tweets off cuzzo page so i will not get in twitter jaillaughing my ass off bitch do not trick me again,0
103,@USER harlem shake is just an excuse to go full retard for seconds,0
104,@USER amen miley HTTPURL but she do not need to act like a hoe just because she is emotionally damaged foh,0
105,@USER having one loyal female is way better than having hoes idc ,0
106,@USER pussy licking pussy meow meow stopwhitepeople HTTPURL ,0
107,@USER check out our th man cowboysnation even with all those faggot ny fans in the stands,0
108,@USER what happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch,0
109,@USER @USER i am the bitch okay nudes pat wow,0
110,@USER @USER you are fucking gay blacklisted hoe holding out for tehgodclan anyway HTTPURL,0
111,@USER the fuck be wrong with these bitches nobody knows,0
112,@USER you all shut upp make me bitch,0
113,@USER i hate a i am pregnant type of bitch,0
114,@USER got bitches in the dm but i do not ever readem which is y your top ,0
115,@USER baseball season for the win yankees this is where the love sta ed,1
116,@USER little stupid as bitch i do not fuck with you,0
117,@USER she really asked me that dead ass serious though all i could say was bitch wheet laugh out loud,0
118,@USER i am an early bird and i am a night owl so i am wise and have worms,1
119,@USER overdosing on heavy drugs does not sound bad tonight i do that pussy shit every day,1
120,@USER pit bulls photographed as lovely fairy tale creatures HTTPURL they are fairy tale creatures,1
121,@USER @USER aw fag do not tweet aw to me laugh out loud,0
122,@USER as long as the lakers trash from now on i could careless and that is real cc @USER hahaha,1
123,@USER @USER i did not say anything though kiss me then faggot,0
124,@USER this the i play soccer cheat on girls and wear khaki coloured cargos haircut HTTPURL yup,1
125,@USER i could go for a fat ass bitch on my lap same,0
126,@USER missed calls das yo po bitch twitter fixing to be screamn freemoneymelle,0
127,@USER ya side bitch got to know its rules to this shitanybody ask you my cousin from jersey thinkin bout moving lmmfao ,0
128,@USER @USER amo los pies HTTPURL fuck yeah,0
129,@USER these hoes be thinking meat will not slap they ass ainna bruh,0
130,@USER you all bitches wit no edges be doing the most talking ,0
131,@USER you all still going trick or treating this year or nahhell yeah i am about to be da sweet tooth bandit steal bitches bags n shit,0
132,@USER i want to have sex with my mom fuck her right in that pussy where i came from damn you got hacked like fuck,0
133,@USER if she kiss you with her eyes open watch that bitchlmfao,0
134,@USER you a would have coulda shoulda ass hoe ,0
135,@USER happy birthday bitch ass nigga @USERpreciate that bitch roll up,0
136,@USER @USER @USER used to send that bitch up,0
137,@USER ugly bitches be like i am my own wcw duh bitch you are not nobody elses,0
138,@USER @USER nigga you know we hacky sack hoes nah i throw no look passes laughing my ass off,0
139,@USER glad i am getting outta atlanta nothing but a bunch of niggas in outta jail dumb bitches with mad kids fuckin them,0
140,@USER this is not ghettoits sma HTTPURL i am doing this idc,1
141,@USER i would wife a hoe only cuz we would not care that we cheating in each other why force the relationship in the first place,0
142,@USER being single is not an excuse to be a hoe @USER,0
143,@USER white boy power bitch black power bitch,0
144,@USER let us get drunk get blowed spit shit spark blunts fuck hoes bro white dudes have no chill,0
145,@USER @USER bitch where you been around the world and back where you been,0
146,@USER @USER if i do not get my dick sucked at yo pa y by a bad bitch i am fr gone set it off by @USER ,0
147,@USER oomf is so cute but he probably has hoes on him a lot,0
148,@USER in every ca oon theirs alway a @USER saving these hoes laughing my ass off HTTPURL laughing my ass off damn captain saveahoe,0
149,@USER who wants to get there nose in these bad bois then scally chav sockfetish stinking HTTPURL hot sox and legs,1
150,@USER i wish i was a bitch like my brother keezy ow i bet you do,0
151,@USER if you dressed up as a cat for halloween you are basic or a pussy,0
152,@USER can pornhub just get a gaming stream feature so these dumb bitches can gtfo @USER get on it katie,0
153,@USER stop being scared to choke her during sex you bitch ass niggas she will like it says the guy who hits women out of bed foh,0
154,@USER @USER ha well iguess i make them hoes loyal bro they will never be loyal that y they hoes my nig,0
155,@USER @USER oh man its am you off a molly ho where the fuck ya seed at fixed,0
156,@USER you are not a man if you refer to every girl as a bitch,0
157,@USER lmfao this cat sta ed beating the shit out of me my nigga finally got some pussy my nigga,0
158,@USER peel up peel up bring it back up rewind back where i am from they move shaq from the line ow who tf said that trash,1
159,@USER @USER io io alu record ho vine sai pe hahahaha laugh out loud anyways haha,0
160,@USER @USER naw its my old tape new cover my upcoming mixtape is kingofthehill yeah i am waiting on that hoe mayne,0
161,@USER old di y foot ass bitches this was too funny to me,0
162,@USER @USER that is where i get my yellow flags for being amazing hell yeah niggy,0
163,@USER do not got time for bitches to be actin iffy,0
164,@USER ucfpinkpa y come on stay alive knights nation this is still the early bird special comeatmeut,1
165,@USER these hoes are not loyal no they are not HTTPURL smfh wonder why nobody decent wants them,0
166,@USER bruh you studs keep thinking i am soft as hell ask ya girl how many times she screamed she was my bitch oh okay stfu bye hoe,0
167,@USER dry pussy bitches always blame it on the condom,0
168,@USER shut yo bitch ass up HTTPURL ,0
169,@USER gucci mane in jail and dropping mixtapes every month and you hoes cannot even text back,0
170,@USER you love these hoes more then money wats wrong these niggas,0
171,@USER a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo sounding like me over there laugh out loud,0
172,@USER easy cum easy hoe that is a fact ,0
173,@USER charlie sheen is too real HTTPURL major fucking respect for charlie sheen,0
174,@USER wish i had a bae you got all the hoes though,0
175,@USER fuck twerking bitch can you cook ,0
176,@USER @USER bitch wtf HTTPURL,0
177,@USER @USER @USER shut up zoe fight me pussy for zoe i am good man you are good madam move along now,0
178,@USER laughing my ass off fucking snake bitches @ them,0
179,@USER big booty hoes everywhere sheesh damn ,0
180,@USER stay tuned to @USER for an update on the repo that @USER b @USER will be out weeks @USER bum,1
181,@USER @USER i play soccer cheat on girls and wear khaki coloured cargos haircut HTTPURL yes lmfao@USER,1
182,@USER oregon chokes every year get off the field trash ass program rft,0
183,@USER def not cowboy laugh out loud @USER terrell owens was the best eagle cowboy ever dude cried like a bitch on tv over romo,0
184,@USER lmfao i hate black people HTTPURL this is why there is black people and niggers,0
185,@USER @USER @USER how could you do this to me bitch potent,0
186,@USER HTTPURL a pissed lad past out i would lick his di y soles while he slept,1
187,@USER HTTPURL love frat boy w soft long soles,1
188,@USER HTTPURL sexy lad with hot soles and arches,1
189,@USER @USER nah fam i got to cheat with the hoes depends on the female i feel,0
190,@USER @USER i got hicks laugh out loud,1
191,@USER this new twitter is confusing the shit out of me go back to south america bitch,0
192,@USER toto means ass or vaginai think pussy because toto santi is like nasty pussy,0
193,@USER but what if he actually does choose the ugly bitch over you her ass must be fat,0
194,@USER bitch could not kill my vibe if ya tried dis why i love miley ,0
195,@USER i am tired of bitches saying i look mean nigga you big af wear tight shi s and grim everybody,0
196,@USER birds your grandkids may never see thanks to climate change HTTPURL HTTPURL climate,1
197,@USER stay beautiful you bitch,0
198,@USER wutkinda r purple celeman this gurl was jus playin on the stupid hoe track but in still shitted on sum gurls,0
199,@USER money getting taller and bitches getting blurry,0
200,@USER i are not never seen a bitch so obsessed with they nigga i am obsessed with mine ,0
201,@USER kobe stay talking trash but let us not forget HTTPURL @USER i meant to do this one smh,0
202,@USER at least i am not a nigger HTTPURL lmfao,0
203,@USER people always asking me what i am mixed with she a bad asian bitch laugh out loud,0
204,@USER @USER ariza is a snake and a coward but at least he is not a cripple like your hero roach laughing my ass offo,0
205,@USER @USER fosters home for imaginary trash whoa chill that show was everything tf,1
206,@USER i am lowkey tired if you tired be quiet and go to sleep hoe,0
207,@USER @USER stop bringing weird niggers into my mentions @USER HTTPURL,0
208,@USER we do not love these hoes ,0
209,@USER if yo girl cannot have homeboys you a old weak bitch ass nigga,0
210,@USER @USER i think worst advice i gave you was do not be a pussy and speed up laugh out loud,0
211,@USER quote this tweet with your favorite animalpussy,0
212,@USER i hate when strippers tell you they are dancers hoe ballet dancers do not pop their pussy to beethoven you a stripper,0
213,@USER andrewbryant poff has double vision after beers poff double pussy smh,0
214,@USER when bitches twerk on the computer me in ya in ya damn ,0
215,@USER @USER @USER @USER prince this is a HTTPURL nobody takin his bitch,0
216,@USER of welfaregovernment aid is claimed by white people so you all black slander is trash now,1
217,@USER these bitches do not care they just play that role,0
218,@USER it took a while for you to find me but i was hiding in the lime tree @USER dis bitch in da wrong tree bro,0
219,@USER drakes new shoes that will be released by nikejordan yes there is glitter on the shoes HTTPURL dudes a fag,0
220,@USER @USER inna di ghetto you alone laughing my ass offo,1
221,@USER @USER @USER @USER hoes austin teach us austini teach you how to get curved that is all i know,1
222,@USER bitches cannot cook but know how to suck dick so to the ones that can do both,0
223,@USER fat hoes get chose laugh out loud,0
224,@USER hoesaintloyal well they are hoesno one expects them to be loyal,0
225,@USER @USER @USER old bitch ass HTTPURL,0
226,@USER bruh i am tired of niggas retweetin miley cyrus naked that bitch are not no types of bad laughing my ass offoo,0
227,@USER just because tony romo at the mavs game do not mean he still not a bitch laughing my ass off fuk them cowgirls laugh out loud bitch fuck you,0
228,@USER holy shit freddie highmore was in charlie and the chocolate factory me rolls on the floor laughing,0
229,@USER i do not want to have sex with my gf because i feel like i am using her anonymous whata faggot,0
230,@USER @ one of your followers with this HTTPURL @ somebody bitch if you do not,0
231,@USER if ya bitch always bitching clearly she care or just an annoying bitch,0
232,@USER these catfish hoes thinkin they slick but niggas catching on ,0
233,@USER cannot worry about a bitch that are not worried bout me real,0
234,@USER side hoes are for insecure niggas that cannot handle a real one,0
235,@USER @USER laughing my ass off this bitch come scooting in the tent like she about to fuck some shit up ,0
236,@USER my cousin said he share hoes with his brothers he said sharing is caring and he love his brothers ,0
237,@USER i am hungry but ionn want to spend my money on foodbroke hoe problems ,0
238,@USER dese hoes be lyin to all of us nigga,0
239,@USER HTTPURL oh yeah fuck that bitch,0
240,@USER eli manning just threw his nflleading th interception of the season laughing my ass off trash,1
241,@USER usc senior rb anthony brown calls head coach steve sarkisian a racist and quits team HTTPURL hes a bitch,1
242,@USER guess what i also have zero time for your mansplaining adios stfu pussy,0
243,@USER chilling HTTPURL sexy scally lad,1
244,@USER i are not sharing no bitch if you mines you mines ,0
245,@USER money only impress the simple broke bitches,0
246,@USER pisces will never be anybodys bitch they do not let people control or change them rigght,0
247,@USER @USER @USER tuku ho i do not know blah blah blah ,1
248,@USER @USER @USER i am not mad cuh hahaha suure tuku ho ita ,1
249,@USER these hoes is crazy,0
250,@USER you are not ever going to be a slice bitch kevin ha ,0
251,@USER oomf so fuckin fine though dam @ her do not be no bitch,0
252,@USER i wonder if the girl that gave head to boys for a drink in magaluf has twitter she probly sends nudes for fags,0
253,@USER newsatquestions yeah bitch yeah bitch call me a maybe b steveo c later d jesse pinkman @USER,0
254,@USER hickies in between her thighs right by her pussy its only right,0
255,@USER would you still love me when i am no longer young and beautiful no ugly monkey ass,0
256,@USER @USER @USER you all come through the frontbitch i are not coming,0
257,@USER @USER faggot bitch HTTPURL,0
258,@USER @USER yea i am on my ipad i do not work this friday let us ball this faggot up @USERi work ,0
259,@USER HTTPURL this scally lad would get it,1
260,@USER gerryshalloweenpa y HTTPURL halloween was yesterday stupid nigger,0
261,@USER chrus still supahot though walks up to teacher with test drops test in that bitch fohead HTTPURL,0
262,@USER @USER i love eating pussy laugh out loud i never get full laugh out loud i can eat that shit forever laugh out loud and ever,0
263,@USER @USER @USER @USER no slushes hoes nasty anyway famthem hoes taste like meds,0
264,@USER @USER no slushes hoes nasty anyway fam,0
265,@USER bobby bitchby @USER be getting me live as fuck hell yea i play that hoe before my workout,0
266,@USER yo bitch is gucci mane @USER my bitch a stoner HTTPURL,0
267,@USER i can ride your bitch with no handle bars,0
268,@USER and if you are not a hoe get up out my traphouse,0
269,@USER sad tv character deaths were still bitter over HTTPURL HTTPURL stark was the man,1
270,@USER these harbor bitches are all pa y bus hoes laugh out loud all,0
271,@USER @USER pussy love it,0
272,@USER ultraviolence video its coming you little bitch mtvhottest lana del rey HTTPURL bitchy promo,0
273,@USER on my way to fuck your bitch HTTPURL lmfao kittycopter,0
274,@USER a smuggler explains how he helped fighters along the jihadi highway HTTPURL,1
275,@USER @USER aww their avis look so cute together HTTPURL do i got to get ike avi on this bitch ,0
276,@USER @USER its simple do not be a hoedont worry about being exposed fight mewhy ,0
277,@USER why is this bitch boosting herself HTTPURL her size is not exactly the most healthy though,0
278,@USER @USER bet not be no bitches kim bye,0
279,@USER damn near got to protect my tweets stalkers being annoying you got that dope dick drive these bitches loco,0
280,@USER i am making marack my girlfriend @USER aye b you pullin hoes just like o taught you,0
281,@USER bruno fag boy you love me,0
282,@USER @USER i must be a bitch you are sike naw this why we always beefing ,0
283,@USER down yankees look to rally in the bottom of the th rallycap,1
284,@USER @USER do not take advantage of a nice person@ hoes@ everyjuan,0
285,@USER happy bi hday bitch nigga @USER thanks pal,0
286,@USER sad knowing that most hoes will not fuck with you because you are not got stacks wait till friday,0
287,@USER @USER cinco shit harder fucc niggayee but you fucc wit rich homie cuz dats ya homeboy fucc nicca,0
288,@USER @USER ew i said that last sundayas in the last sunday i was there read it again nigs,0
289,@USER i only punch real niggas in the face because a pussy nigga is going to punch me right back strong mush or shake,0
290,@USER my pussy still fresh something stank girls say,0
291,@USER ass slapping is one the greatest things haha i slapped a girl on the ass she got mad i are not get pussy for a week,0
292,@USER @USER @USER yeah texans are so much better you fucking retard i see that you are mad about this,0
293,@USER nd wtf is up with dark bitches with blonde please have several seats hoe looking like blackmilds out here,0
294,@USER there is a lane some bitches need to stay in the left n get right the fuck outta our face ,0
295,@USER i hate when boys deny that they have bitches smh,0
296,@USER ya nigs out there still saying you all do not eat butt with a straight face,0
297,@USER i am a boss ass bitch that needs to sit in a corner,0
298,@USER hes a hoe i cannot,0
299,@USER me and paul thinkin bout gettin rentals for da weekend oh shit bitches betta stay out da streets,0
300,@USER bitches hold they nigga down when he get locked up but if a nigga go to college or the military its a different story ,0
301,@USER why do my friends hate me because you a ratchet hoe,0
302,@USER no love for these fuck niggas hoes,0
303,@USER hot meat HTTPURL sexy as fuck scally lad i would love to meet him and his trainers,0
304,@USER sniff HTTPURL perved up scally lad fuck yeah,0
305,@USER these bitches love sosa,0
306,@USER @USER i legit watched it for about or seconds so did i wtf prob because were retarded smh,0
307,@USER what should i name my cat ideas mr pussy,0
308,@USER HTTPURL woof woof sexy thug boy scally,0
309,@USER @USER you see the damn phone ringing when you married bitches makes demands you have not called me,0
310,@USER tevin is my favorite sophomore i think hes so funny hes really not laughing my ass offo hes a little hoe,0
311,@USER sex positions HTTPURL HTTPURL this what you call fucking the soul outta bitch ,0
312,@USER @USER is bored supposed to be cute you faggot sometimes,0
313,@USER one mans trash is another mans treasure ,1
314,@USER i do not got no type bad bitches is the only thing i like iongotnotype,0
315,@USER @USER lassen cc the coach wants me i feel it you will get more my nig no doubt,0
316,@USER god teeth gold chain white bitches cocaine,0
317,@USER its me hoe its me hoe sh,0
318,@USER in dc we call them rollers in chiraq we call them thots all across america they have been known as a hoe,0
319,@USER i am going to miss that bitch of a bus driverno you will not do not lie,0
320,@USER hate when bitches try and put you in the friendzone bitch i am tryin to score put me in the endzone on my soul,0
321,@USER ashley young has tried to deny that bird s landed in his mouth HTTPURL HTTPURL hahaha,1
322,@USER @USER you all both gimped up are not tht a bitch huh laugh out loud,0
323,@USER @USER take me for a ride HTTPURL woof woof,1
324,@USER oh my god i love victoria mitchell all my bitches love me,0
325,@USER that long distance shit wack i knew the bitch was cheating uh oh,0
326,@USER hes doing it right HTTPURL no bitches smh,0
327,@USER they ban dat pussy for life he got to pay millon dollar fine,0
328,@USER roses are red and violets are blue and niggers are black you know that is true @USER,0
329,@USER sitting on my window sill window open bird tries to fly in smacked it protecttheanimals @USER,1
330,@USER but a nigga gon be a nigga be a nigga you sound fuckin retarded,0
331,@USER a video an entire media will likely mock HTTPURL i am such a crybaby,1
332,@USER @USER @USER i am not even shy stfu kikis mom hi angelique angelique smiles dips cracker in soup,0
333,@USER tim tebow got cut from every team he was on in the nfl and he already got more hoes than me in starkville smh ,0
334,@USER karma is a bitch damn godprotectshisangels sips tea,0
335,@USER fuckin hot gym pussy HTTPURL fuck yeah,0
336,@USER jihadi patron hajjaj alajmi is arrested at kuwait airpo HTTPURL,1
337,@USER you can call me fireman because i turn the hoes on,0
338,@USER i could never have a bby by a lil dick thts y i got a abo ion by the last bitch oh my god,0
339,@USER watch women try to argue with me like they have a dick and actually fucked some pussy before i hate when bitches do that,0
340,@USER and smoke weed in public fuck cops man do what you want to do they do not own you run if they come are you retarded,0
341,@USER tweety bird though HTTPURL,1
342,@USER my pussy sweet like watermelon HTTPURL thotermelon,0
343,@USER when twitter rappers dm me their trash links HTTPURL,1
344,@USER loud bitches annoy me,0
345,@USER eventually every bitch turns into that hoe tru,0
346,@USER @USER @USER i swear if oomf try talking to me tomorrow @ @USER pussy,0
347,@USER you bitches be pretending to be tf crazy you are not never lied,0
348,@USER @USER k bye hoe um bye ,0
349,@USER jackies a retard blondeproblems at least i can make a grilled cheese,0
350,@USER i am about to keep on giving these pussy ass niggas ah reason to hate ,0
351,@USER photo HTTPURL he is in sole heaven,1
352,@USER stacey dash won HTTPURL baddest bitch eva,0
353,@USER side bitch sunday ,0
354,@USER facts what baldheaded bitch made this shit HTTPURL laughing my ass off ,0
355,@USER fuck wit us and then we tweakin hoe shmurda,0
356,@USER we actin like its the th day @USER HTTPURL spook,1
357,@USER ill break that lil bitch neck and will not even feel sorry about it savage,0
358,@USER this is so fucking hot scally sneakersex sockfetish sniff trainersex HTTPURL love me some kinky scallies,0
359,@USER you all dumb ass niggas be so pressed to have hoes you all weak as fuck as fuck weed over hoes oreos too,0
360,@USER i can turn yo bitch into a eater,0
361,@USER i do not trust dese hoes nikki told st where i stay at all my fans screen shot as soon as possible we fixing to come to chiraq and shoot sumn,0
362,@USER @USER aye you all i am about to tryout for the bowling team frfr tryouts passed though no there is two more retard,0
363,@USER now you got what you want bitch enjoy it HTTPURL now this is a crazy pa y i would love to attend,0
364,@USER colored contacts in your eyes blinders on mine because i cannot see you at all laughing my ass off,1
365,@USER facts @USER only the dudes with hoes say they do not got hoes @USER,0
366,@USER i am rea sta smacking bitches period bluffin at its best,0
367,@USER lifes a bitch and then you die that is why we get high because you neva know when you are going to go my sister is perfect ,0
368,@USER one of us is on drugs and its me but you are still wrong @USER hahahahahahah i am a bitch sometimes ,0
369,@USER i am feeling pretty fuckin ghetto smh,0
370,@USER @USER @USER @USER @USER swears i am man easily easily behind austin nip,1
371,@USER this is a true ride or die bitch HTTPURL what the fuck hahahahah,0
372,@USER hgwells and charlie chaplin HTTPURL history photography,1
373,@USER all i see is brunos bitch ass on my twitter now wtf brunos all that she sees drake voice,0
374,@USER @USER i am about to cool faggot chill tf is cool nigga,0
375,@USER @USER i am so sure bitch frfr tf,0
376,@USER twitter is not a source of news broadcast you fucking retards it is when nbc abc cnn fox etc are all keeping quiet,0
377,@USER got a couple bitches saying they know me but i am about to let the money talk for me and i am like wwyd,0
378,@USER grudges are for weirdosand bitches,0
379,@USER i told mariam to but cigarettes for her bi hday you also called me trash right now,1
380,@USER @USER brownies tonight what kind,1
381,@USER no text back i do not give a fuck ill text another bitch damn someone is hu laugh out loud,0
382,@USER um okay HTTPURL you got hoes from left to right do yah thang,0
383,@USER using ymxb to find the slope of that ass,0
384,@USER fit lads nice gear HTTPURL these scally lads n trainers would get it,1
385,@USER hell yeah bro HTTPURL fuck yeah sexy scally lad in hot gear,0
386,@USER helping out a mate HTTPURL i love scally play fuck yeah,0
387,@USER lads being lads HTTPURL fuck yeah i love scally lad action hot trainers too,0
388,@USER next year bitches is going to be like you got to promise you will not expose me ,0
389,@USER @USER so hot @USER lick it bitch HTTPURL fuck yeah eat that trainer you di y fucker,0
390,@USER @USER you all think celebrity pussy different from the locals yeah meghan goods is,0
391,@USER i saw an ajumma walk out in the beginning saying wow this is so trash that i cannot even listen to it laughing my ass offo,1
392,@USER need these sox HTTPURL fuck yeah i love a kinky scally lad w rank sox and sneaks,0
393,@USER i do not ever expose females like that that is childish bitch nigga shi,0
394,@USER @USER @USER yas trys new things with bestfriend bitch who do you love,0
395,@USER dude remember this wop video @USER HTTPURL omg where did you find that,1
396,@USER thick raw fuck HTTPURL damn his man pussy is getting a workout,0
397,@USER rawr @USER my sexy french scally i love him frenchscally HTTPURL sexy scally woof woof,1
398,@USER nothin in life is free some of you bitches need to write that on ya panties,0
399,@USER @USER if one of you bitches want some of my burrito you can catch me at potosino huh haha,0
400,@USER niggas whole hoes out here cuz could not had said it better,0
401,@USER hardcore way to eat mac and cheese boil water sno cheese powder drink boiling water fuck bitches,0
402,@USER yourenotmytype if my fade is perpetually fresher than yours that is a real ass bitch rite there,0
403,@USER annoying bitch that i love HTTPURL judyanns so pretty,0
404,@USER HTTPURL laughing my ass off bitch got on some huggies,0
405,@USER hi bitch no bitch bye bitch HTTPURL,0
406,@USER does he look like a bitch @USER,0
407,@USER chase money not hoes ,0
408,@USER cannot stand a i do not know what i want ass nigga bitch,0
409,@USER @USER @USER i am on my way HTTPURL love a chavhot sexy scally fucker,0
410,@USER these newly gay bitches do not kno how shit works,0
411,@USER when a bitch do not want a real job they just become strippers laugh out loud laugh out loud,0
412,@USER aw meat meat in his feelinsi ainn n my feelings bitch,0
413,@USER i want snake bites my industrial piercin a tattoodem hoe accessories dea ,0
414,@USER baby albino HTTPURL @USER,1
415,@USER these hoes are not loyal,0
416,@USER yas ordered chinese bitch you just ate tacos you fat fuck,0
417,@USER i made that bitch lunch @USER bitches love lunch,0
418,a no brainer but as soon as this bitch gets rich in political power her views will change political whores HTTPURL,0
419,a pussy a day keeps the devil away @USER,0
420,are not that about a bitch what does that mean,0
421,all these bitches want a baby i do not want no children,0
422,and bitch you must be lost ,0
423,baby i like being on your left side no bitch you cannot be there cuz the street on that side and twitter said i are not real if you do,0
424,bae sounds like such a ghetto word use something else,1
425,batter the wee cunt jewis y cos he fucked my ex emma is not battering the girls i have nailedive moved onstop being a pussy n do it urself,0
426,bleed out hoe alexa,0
427,boolin in the bando wit a few bitches,0
428,brownies for my brownie i love this movie ,1
429,but i need a bad bitch that is hotter than me might be the realist shit pa ynextdoor ever said that is how i be feelin everyday,0
430,by the way we do punch bitches,0
